source,split,z_bin,threshold,n_lesion,n_over_threshold
synthetic,train,22,80,614,212
synthetic,train,22,90,614,206
synthetic,train,22,100,614,195
synthetic,train,23,0,531,531
synthetic,train,23,50,531,261
synthetic,train,23,60,531,198
synthetic,train,23,75,531,186
synthetic,train,23,80,531,178
synthetic,train,23,90,531,163
synthetic,train,23,100,531,148
synthetic,train,24,0,631,631
synthetic,train,24,50,631,383
synthetic,train,24,60,631,287
synthetic,train,24,75,631,231
synthetic,train,24,80,631,218
synthetic,train,24,90,631,194
synthetic,train,24,100,631,159
synthetic,train,25,0,676,676
synthetic,train,25,50,676,204
synthetic,train,25,60,676,130
synthetic,train,25,75,676,90
synthetic,train,25,80,676,75
synthetic,train,25,90,676,54
synthetic,train,25,100,676,36
synthetic,train,26,0,409,409
synthetic,train,26,50,409,185
synthetic,train,26,60,409,132
synthetic,train,26,75,409,75
synthetic,train,26,80,409,36
synthetic,train,26,90,409,30
synthetic,train,26,100,409,29
synthetic,train,27,0,671,671
synthetic,train,27,50,671,235
synthetic,train,27,60,671,202
synthetic,train,27,75,671,136
synthetic,train,27,80,671,126
synthetic,train,27,90,671,73
synthetic,train,27,100,671,61
synthetic,train,28,0,637,637
synthetic,train,28,50,637,177
synthetic,train,28,60,637,75
synthetic,train,28,75,637,69
synthetic,train,28,80,637,65
synthetic,train,28,90,637,61
synthetic,train,28,100,637,57
synthetic,train,29,0,320,320
synthetic,train,29,50,320,25
synthetic,train,29,60,320,18
synthetic,train,29,75,320,10
synthetic,train,29,80,320,7
synthetic,train,29,90,320,6
synthetic,train,29,100,320,5
